Наименование;Цена;Наличие
Ноутбуки;;
Acer Aspire One AOP531h-06Gk Black Intel® Atom-N270 1,66 ГГц / 10.1'' WSVGA / 2048Mb / 250Gb / Intel GMA 950-v128Mb / noCDROM / WiFi / WinXP-H (LU.S9106.002);23760 руб.;есть
Acer Aspire One 751h-52Bw White Intel® Atom-Z520 1,33 ГГц / 11.6'' WXGA / 1024Mb / 160Gb / Intel GMA 500-v128Mb / noCDROM / WiFi / WinXP-H (LU.S780B.132);16080 руб.;есть
Acer Aspire One 751h-52Yk Black Intel® Atom-Z520 1,33 ГГц / 11.6'' WXGA / 2048Mb / 250Gb / Intel GMA 500-v128Mb / noCDROM / WiFi / VHB (LU.S810Y.113);18660 руб.;есть
Acer Aspire 7530G-703G25MI TurX2-RM-70 2,0 ГГц / 17.0'' WXGA+ / 3072Mb / 250Gb / GeForce 9600M GS-v512Mb / DVD-RWx2 / WiFi / VHP (LX.AW90X.038);26960 руб.;остатки
Acer Aspire 7530G-703G32Mi TurX2-RM-70 2,0 ГГц / 17.0'' WXGA+ / 3072Mb / 320Gb / GeForce 9300M-v256Mb / DVD-RWx2 / WiFi / VHB (LX.ARH0X.098);25180 руб.;остатки
Acer Aspire 5520G-503G25Mi TurX2-TL60 2,0 ГГц / 15.4'' WXGA / 3072Mb / 250Gb / GeForce 8600M GS-v256Mb / DVD-RW / WiFi / VHP (LX.ALT0X.102);27410 руб.;остатки
Acer TravelMate 4730-872G25Mi C2D-P8700 2,5 ГГц / 14.1'' WXGA / 2048Mb / 250Gb / Intel GMA X4500MHD-v64Mb / DVD-RW / WiFi / VB (LX.TQ60Z.324);36110 руб.;предзаказ
Acer Aspire 4920G-832G32Mn C2D(Pn)-T8300 2,4 ГГц / 14.1'' WXGA / 2048Mb / 320Gb / Radeon 2400-v256Mb / DVD-RWx2 / WiFi / VHP (LX.AKW0X.343);29140 руб.;остатки
Acer Aspire 6935G-944G32Bi C2D-T9400 2,53 ГГц / 16.0'' WUXGA / 4096Mb / 320Gb / GeForce 9600M GT-v512Mb / Blu-Ray Combo / WiFi / VU (LX.ATQ0U.065);57880 руб.;предзаказ
Acer Aspire 6935G-734G32Bi C2D-P7350 2,0 ГГц / 16.0'' WXGA / 4096Mb / 320Gb / GeForce 9600M GT-v512Mb / Blu-Ray Combo / WiFi / VHP (LX.ATP0X.028);51620 руб.;остатки
Acer Aspire 6930G-844G64Mi C2D-P8400 2,26 ГГц / 16.0'' WXGA / 4096Mb / 640Gb / GeForce 9600M GS-v512Mb / DVD-RWx2 / WiFi / VHP (LX.AVB0X.111);39430 руб.;остатки
Acer Aspire 6930G-583G25Mi C2D-T5800 2,0 ГГц / 16.0'' WXGA / 3072Mb / 250Gb / GeForce 9300M-v256Mb / DVD-RWx2 / WiFi / VHP (LX.AUU0X.178);27500 руб.;предзаказ
Acer Aspire 6930G-644G25Mx C2D-T6400 2,0 ГГц / 16.0'' WXGA / 4096Mb / 250Gb / GeForce 9600M GT-v1024Mb / DVD-RWx2 / WiFi / VHP (LX.AQM0X.019);33570 руб.;остатки
